,Candidate,clean_name,State,District,num_candidates_in_race,Office Type,Race Type,Primary Status,Primary Runoff Status,General Status,Primary %,Endorsements,district_identifier,district_lean,Cand_Office,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date,Republican?,Challenger?(else_open),received_endorsements?
0,Lizzetta Hill McConnell,lizzetta hill mcconnell,AL,U.S. House Alabama District 1,2,Representative,Regular,Lost,None,None,19.23,0.0,AL-1,-31.938509999999997,H,DEM,CHALLENGER,5127.0,6021.0,-894.0,0.0,2735.0,2392.0,5127.0,0.0,0.0,0.0,5127.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5127.0,6021.0,0.0,0.0,02/03/2018,False,True,False
1,Mallory Hagan,mallory hagan,AL,U.S. House Alabama District 3,2,Representative,Regular,Advanced,None,On the Ballot,65.739998,0.0,AL-3,-35.23648,H,DEM,CHALLENGER,467514.71,464472.2,2917.53,2493.22,215160.38,194148.88,409309.26,30500.0,500.0,0.0,440309.26,0.0,0.0,0.0,0.0,27205.45,0,0,0.0,433536.77,0.0,0.0,0.0,0.0,0.0,0.0,3935.43,0.0,0.0,3935.43,27000.0,436373.83,406331.32,0.0,0.0,01/01/2018,False,True,False
2,Peter Joffrion,peter joffrion,AL,U.S. House Alabama District 5,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,AL-5,-32.37688,H,DEM,CHALLENGER,590173.38,587237.93,2935.45,0.0,417234.37,136152.16,553386.53,29823.41,0.0,1156.51,584366.45,0.0,5000.0,0.0,5000.0,0.0,0,0,806.93,566967.63,0.0,0.0,0.0,5000.0,0.0,5000.0,5670.3,0.0,4000.0,9670.3,5600.0,574696.15,566967.63,0.0,0.0,04/01/2017,False,True,False
3,Danner Kline,danner kline,AL,U.S. House Alabama District 6,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,AL-6,-41.60968,H,DEM,CHALLENGER,287432.23,287432.23,0.0,0.0,190763.5,86850.73,277614.23,9000.0,0.0,818.0,287432.23,0.0,0.0,0.0,0.0,0.0,0,0,0.0,285091.56,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,2305.67,287397.23,285091.56,0.0,2285.67,04/01/2017,False,True,False
4,Steve Smith,steve smith,AZ,U.S. House Arizona District 1,3,Representative,Regular,Lost,None,None,37.8,3.0,AZ-1,-5.63324,H,REP,CHALLENGER,438887.91,438701.54,186.37,0.0,385250.35,23137.56,408387.91,30500.0,0.0,0.0,438887.91,0.0,0.0,0.0,0.0,0.0,0,0,0.0,362551.54,0.0,0.0,0.0,0.0,0.0,0.0,75150.0,0.0,1000.0,76150.0,0.0,362737.91,362551.54,0.0,0.0,05/15/2017,True,True,True
5,Wendy Rogers,wendy rogers,AZ,U.S. House Arizona District 1,3,Representative,Regular,Advanced,None,On the Ballot,43.4,1.0,AZ-1,-5.63324,H,REP,CHALLENGER,1423836.68,1427124.4,1702.07,34837.38,1157664.0,144586.0,1302250.0,83750.0,5000.0,698.53,1391698.53,0.0,8000.0,0.0,8000.0,23933.89,0,0,204.26,1415824.4,0.0,0.0,0.0,5000.0,0.0,5000.0,6300.0,0.0,0.0,6300.0,0.0,1385398.53,1391890.51,4989.79,0.0,01/01/2017,True,True,True
6,Tiffany Shedd,tiffany shedd,AZ,U.S. House Arizona District 1,3,Representative,Regular,Lost,None,None,18.8,1.0,AZ-1,-5.63324,H,REP,CHALLENGER,598230.31,594796.85,3433.46,294340.37,267121.16,21290.53,288411.69,59752.63,0.0,20442.62,368606.94,0.0,229000.0,0.0,229000.0,622.9,0,0,0.47,557993.19,0.0,0.0,0.0,0.0,0.0,0.0,31800.0,0.0,5000.0,36800.0,3.66,331806.94,557370.29,0.0,0.0,06/01/2017,True,True,True
7,Sergio Arellano,sergio arellano,AZ,U.S. House Arizona District 3,3,Representative,Regular,Lost,None,None,27.3,0.0,AZ-3,21.57156,H,REP,CHALLENGER,40346.71,40346.71,0.0,0.0,27094.69,9745.5,36840.19,0.0,0.0,3481.52,40321.71,0.0,0.0,0.0,0.0,25.0,0,0,0.0,40346.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40321.71,40321.71,0.0,0.0,12/13/2017,True,True,False
8,Debbie Lesko,debbie lesko,AZ,U.S. House Arizona District 8,14,Representative,Special,Advanced,None,On the Ballot,35.77,3.0,AZ-8,-24.07534,H,REP,INCUMBENT,2103473.83,2032633.16,70840.67,0.0,905744.31,545146.29,1450890.6,543415.08,20000.0,1703.59,2016009.27,2359.84,25000.0,0.0,25000.0,2698.41,0,0,57406.31,1999285.36,0.0,0.0,0.0,25000.0,0.0,25000.0,2345.0,0.0,0.0,2345.0,6002.8,2013664.27,1996586.95,0.0,0.0,10/01/2017,True,False,True
9,Bob Stump,bob stump,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,5.37,0.0,AZ-8,-24.07534,H,REP,OPEN,21980.0,21980.0,13484.68,0.0,20900.0,1080.0,21980.0,0.0,0.0,0.0,21980.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21980.0,21980.0,13484.68,0.0,01/01/2017,True,False,False
10,Phil Lovas,phil lovas,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,23.88,0.0,AZ-8,-24.07534,H,REP,OPEN,318412.83,318412.83,0.0,0.0,242128.0,9489.0,251617.0,15250.0,0.0,5806.43,272673.43,0.0,40000.0,0.0,40000.0,5739.4,0,0,0.0,273012.83,0.0,0.0,0.0,40000.0,0.0,40000.0,5400.0,0.0,0.0,5400.0,0.0,267273.43,267273.43,0.0,0.0,01/01/2017,True,False,False
11,Richard Mack,richard mack,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.42,0.0,AZ-8,-24.07534,H,REP,OPEN,72709.69,72709.69,0.0,0.0,18210.0,22067.69,40277.69,0.0,0.0,8232.0,48509.69,0.0,24200.0,0.0,24200.0,0.0,0,0,0.0,70689.22,0.0,0.0,0.0,2020.47,0.0,2020.47,0.0,0.0,0.0,0.0,0.0,48509.69,70689.22,0.0,0.0,01/01/2018,True,False,False
12,Stephen Dolgos,stephen dolgos,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,0.48,0.0,AZ-8,-24.07534,H,REP,OPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,False,False
13,Steve Montenegro,steve montenegro,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,23.82,0.0,AZ-8,-24.07534,H,REP,OPEN,356446.69,356446.69,0.0,0.0,238598.24,82848.45,321446.69,35000.0,0.0,0.0,356446.69,0.0,0.0,0.0,0.0,0.0,0,0,0.0,347346.69,0.0,0.0,0.0,0.0,0.0,0.0,9100.0,0.0,0.0,9100.0,0.0,347346.69,347346.69,0.0,0.0,12/11/2017,True,False,False
14,Christopher Sylvester,christopher sylvester,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.92,0.0,AZ-8,-24.07534,H,IND,OPEN,8403.13,7917.18,485.95,0.0,0.0,629.0,629.0,0.0,0.0,7774.13,8403.13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6409.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507.5,8403.13,6409.68,0.0,0.0,10/01/2017,False,False,False
15,David Lien,david lien,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.77,0.0,AZ-8,-24.07534,H,REP,OPEN,17745.0,19382.76,-1637.76,0.0,14350.0,1245.0,15595.0,0.0,0.0,2000.0,17595.0,0.0,0.0,0.0,0.0,150.0,0,0,0.0,19382.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17595.0,19232.76,0.0,0.0,12/04/2017,True,False,False
16,Chad Allen,chad allen,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.05,0.0,AZ-8,-24.07534,H,REP,OPEN,33011.58,33011.58,0.0,0.0,4450.0,175.0,4625.0,0.0,0.0,28386.58,33011.58,0.0,0.0,0.0,0.0,0.0,0,0,0.0,30625.67,0.0,0.0,0.0,0.0,0.0,0.0,2385.91,0.0,0.0,2385.91,0.0,30625.67,30625.67,0.0,0.0,12/18/2017,True,False,False
17,Brenden Dilley,brenden dilley,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.03,0.0,AZ-8,-24.07534,H,REP,OPEN,47018.77,47014.81,3.96,0.0,18641.66,28374.43,47016.09,0.0,0.0,0.0,47016.09,0.0,0.0,0.0,0.0,2.68,0,0,0.0,47014.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47016.09,47012.13,0.0,0.0,12/09/2017,True,False,False
18,Mark Yates,mark yates,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.12,0.0,AZ-8,-24.07534,H,REP,OPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,False,False
19,Brianna Westbrook,brianna westbrook,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,39.720001,0.0,AZ-8,-24.07534,H,DEM,OPEN,42870.67,38439.89,0.0,0.0,8052.0,31118.67,39170.67,250.0,3175.0,275.0,42870.67,0.0,0.0,0.0,0.0,0.0,0,0,0.0,34610.68,0.0,0.0,3829.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42470.67,36410.68,0.0,0.0,04/01/2017,False,False,False
20,Hiral Tipirneni,hiral tipirneni,AZ,U.S. House Arizona District 8,14,Representative,Special,Advanced,None,On the Ballot,60.220001,0.0,AZ-8,-24.07534,H,DEM,OPEN,4579945.1,4479343.36,100601.74,70000.0,1790782.15,2488541.85,4279324.0,206952.6,0.0,23593.05,4509869.65,0.0,70000.0,0.0,70000.0,0.0,0,0,75.45,4064164.52,0.0,0.0,0.0,0.0,0.0,0.0,103928.84,0.0,0.0,103928.84,311250.0,4405940.81,4064164.52,0.0,0.0,07/01/2017,False,False,False
21,Chintan Desai,chintan desai,AR,U.S. House Arkansas District 1,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,AR-1,-43.29444,H,DEM,CHALLENGER,137153.22,137153.22,0.0,0.0,57903.0,62332.13,120235.13,12320.46,0.0,4597.63,137153.22,0.0,0.0,0.0,0.0,0.0,0,0,0.0,137069.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,137153.22,137069.22,0.0,0.0,10/01/2017,False,True,False
22,Jonathan Dunkley,jonathan dunkley,AR,U.S. House Arkansas District 2,4,Representative,Regular,Lost,None,None,9.340000199999999,0.0,AR-2,-13.747370000000002,H,DEM,CHALLENGER,34466.05,34298.21,417.84,10000.0,18226.05,6240.0,24466.05,0.0,0.0,0.0,24466.05,0.0,10000.0,0.0,10000.0,0.0,0,0,0.0,34298.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24466.05,34298.21,250.0,0.0,01/01/2018,False,True,False
23,Audrey Denney,audrey denney,CA,U.S. House California District 1,4,Representative,Regular,Advanced,None,On the Ballot,43.650002,0.0,CA-1,-20.57485,H,DEM,CHALLENGER,1097584.95,1097092.46,492.49,0.0,607970.79,443232.96,1051203.75,38045.2,2000.0,0.0,1091248.95,0.0,4000.0,0.0,4000.0,1986.0,0,0,350.0,1089483.65,0.0,0.0,0.0,4000.0,0.0,4000.0,2758.81,0.0,700.0,3458.81,150.0,1087790.14,1087497.65,0.0,0.0,01/01/2018,False,True,False
24,David Peterson,david peterson,CA,U.S. House California District 1,4,Representative,Regular,Lost,None,None,7.3000002,0.0,CA-1,-20.57485,H,DEM,CHALLENGER,17275.0,12697.0,4578.0,15000.0,0.0,2275.0,2275.0,0.0,0.0,0.0,2275.0,0.0,15000.0,0.0,15000.0,0.0,0,0,0.0,11847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,2275.0,11847.0,0.0,0.0,01/01/2018,False,True,False
25,Josh Harder,josh harder,CA,U.S. House California District 10,6,Representative,Regular,Advanced,None,On the Ballot,35.57,1.0,CA-10,-0.9217146999999999,H,DEM,CHALLENGER,8441529.09,8421288.43,20240.66,3000.0,5631647.45,1779432.27,7411079.72,350099.9,1396.2,0.0,7762575.82,651463.29,0.0,0.0,0.0,8911.48,0,0,18578.5,8366614.97,0.0,0.0,0.0,0.0,0.0,0.0,51546.84,0.0,2425.0,53971.84,701.62,7708603.98,8357703.49,0.0,0.0,04/30/2017,False,True,True
26,Sue Zwahlen,sue zwahlen,CA,U.S. House California District 10,6,Representative,Regular,Lost,None,None,17.049999,0.0,CA-10,-0.9217146999999999,H,DEM,CHALLENGER,840266.61,480284.77,0.0,359981.84,79085.37,33887.33,112972.7,0.0,0.0,366402.78,479375.48,0.0,360450.0,0.0,360450.0,441.13,0,0,0.0,479213.18,0.0,0.0,0.0,468.16,0.0,468.16,478.43,0.0,0.0,478.43,125.0,478897.05,478772.05,0.0,0.0,07/01/2017,False,True,False
27,Virginia Madueno,virginia madueno,CA,U.S. House California District 10,6,Representative,Regular,Lost,None,None,19.17,3.0,CA-10,-0.9217146999999999,H,DEM,CHALLENGER,355454.26,355954.26,0.0,0.0,252890.32,61041.38,313931.7,29000.0,0.0,2402.56,345334.26,0.0,10000.0,0.0,10000.0,120.0,0,0,0.0,325080.83,0.0,0.0,0.0,0.0,0.0,0.0,30873.43,0.0,0.0,30873.43,0.0,314460.83,324960.83,0.0,0.0,07/01/2017,False,True,True
28,John Fitzgerald,john fitzgerald,CA,U.S. House California District 11,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-11,46.24732,H,REP,CHALLENGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,False
29,Lisa Remmer,lisa remmer,CA,U.S. House California District 12,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-12,71.45914,H,REP,CHALLENGER,22442.61,22442.61,0.0,625.0,8950.0,2492.61,11442.61,0.0,1000.0,0.0,12442.61,0.0,10000.0,0.0,10000.0,0.0,0,0,0.0,11192.61,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,1250.0,12442.61,11192.61,0.0,0.0,01/01/2018,True,True,False
30,Elizabeth Heng,elizabeth heng,CA,U.S. House California District 16,1,Representative,Regular,Advanced,None,On the Ballot,100.0,1.0,CA-16,16.62029,H,UNK,CHALLENGER,1298558.89,1267197.95,31360.94,57859.1,900549.01,158169.22,1058718.23,186972.5,6472.0,8372.55,1260535.28,2359.84,13000.0,0.0,13000.0,22663.77,0,0,0.0,1227124.45,0.0,0.0,0.0,0.0,0.0,0.0,5050.0,0.0,3700.0,8750.0,0.0,1251785.28,1208684.18,0.0,0.0,01/01/2018,False,True,True
31,Christine Russell,christine russell,CA,U.S. House California District 18,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-18,50.58445,H,REP,CHALLENGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,False
32,TJ Cox,tj cox,CA,U.S. House California District 21,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-21,8.58812,H,DEM,CHALLENGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,True,False
33,Andrew Janz,andrew janz,CA,U.S. House California District 22,3,Representative,Regular,Advanced,None,On the Ballot,78.83000200000001,0.0,CA-22,-10.61698,H,DEM,CHALLENGER,9233869.01,9211821.7,22047.31,0.0,4079354.65,4878500.93,8957855.58,116743.71,1595.96,0.0,9076195.25,145709.04,0.0,0.0,0.0,11964.72,0,0,0.0,9065478.03,0.0,0.0,0.0,0.0,0.0,0.0,126723.67,0.0,8500.0,135223.67,11120.0,8940971.58,9053513.31,0.0,0.0,04/01/2017,False,True,False
34,Bobby Bliatout,bobby bliatout,CA,U.S. House California District 22,3,Representative,Regular,Lost,None,None,12.26,2.0,CA-22,-10.61698,H,DEM,CHALLENGER,394178.67,394178.67,0.0,0.0,71722.47,33432.0,105154.47,0.0,0.0,205831.61,310986.08,0.0,75000.0,2700.0,77700.0,0.0,0,0,5492.59,314126.24,0.0,0.0,0.0,75000.0,2700.0,77700.0,2302.43,0.0,0.0,2302.43,50.0,308683.65,314126.24,0.0,0.0,01/01/2017,False,True,True
35,Kurtis Wilson,kurtis wilson,CA,U.S. House California District 23,4,Representative,Regular,Lost,None,None,4.8400002,0.0,CA-23,-22.286179999999998,H,DEM,CHALLENGER,12040.87,11839.91,200.96,3212.73,8100.0,248.0,8348.0,0.0,0.0,480.14,8828.14,0.0,3212.73,0.0,3212.73,0.0,0,0,0.0,11839.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8828.14,11839.91,0.0,0.0,10/01/2017,False,True,False
36,Tatiana Matta,tatiana matta,CA,U.S. House California District 23,4,Representative,Regular,Advanced,None,On the Ballot,42.720001,0.0,CA-23,-22.286179999999998,H,DEM,CHALLENGER,116057.86,106342.6,9679.28,0.0,45989.79,48718.25,94708.04,19825.0,0.0,1418.36,115951.4,0.0,0.0,0.0,0.0,0.0,0,0,106.46,104341.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2000.0,115950.4,104341.6,0.0,0.0,08/20/2017,False,True,False
37,Wendy Reed,wendy reed,CA,U.S. House California District 23,4,Representative,Regular,Lost,None,None,34.25,1.0,CA-23,-22.286179999999998,H,DEM,CHALLENGER,27394.25,28264.93,0.0,0.0,13628.65,8253.69,21882.34,1000.0,0.0,0.0,22882.34,0.0,4499.23,0.0,4499.23,12.68,0,0,0.0,26430.31,0.0,0.0,0.0,1831.04,0.0,1831.04,3.58,0.0,0.0,3.58,0.0,22878.76,26417.63,0.0,0.0,01/01/2017,False,True,True
38,Justin Fareed,justin fareed,CA,U.S. House California District 24,2,Representative,Regular,Advanced,None,On the Ballot,78.37,2.0,CA-24,18.76755,H,REP,CHALLENGER,1459656.01,1513003.06,3847.18,38202.56,1209399.44,60696.48,1270095.92,156750.0,5000.0,0.0,1431845.92,0.0,18000.0,0.0,18000.0,5648.8,0,0,4161.29,1494605.64,0.0,0.0,0.0,0.0,0.0,0.0,14570.0,0.0,2700.0,17270.0,1127.42,1414575.92,1488956.84,57256.73,0.0,01/01/2017,True,True,True
39,Bryan Caforio,bryan caforio,CA,U.S. House California District 25,4,Representative,Regular,Lost,None,None,38.259997999999996,0.0,CA-25,5.106485,H,DEM,CHALLENGER,1217418.32,1220320.16,75.76,96000.0,893043.27,121624.75,1014668.02,62796.4,0.0,12682.51,1090146.93,0.0,96000.0,0.0,96000.0,21207.34,0,0,10064.05,1124775.38,0.0,0.0,0.0,0.0,0.0,0.0,84536.48,0.0,10000.0,94536.48,1008.3,995610.45,1103568.04,2977.6,0.0,01/01/2017,False,True,False
40,Jess Phoenix,jess phoenix,CA,U.S. House California District 25,4,Representative,Regular,Lost,None,None,13.24,0.0,CA-25,5.106485,H,DEM,CHALLENGER,495219.91,495181.29,38.62,0.0,202943.71,280143.48,483087.19,3850.0,0.0,2645.7,489582.89,0.0,0.0,0.0,0.0,5637.02,0,0,0.0,480787.88,0.0,0.0,0.0,0.0,0.0,0.0,12836.13,0.0,0.0,12836.13,1557.28,476746.76,475150.86,0.0,0.0,04/01/2017,False,True,False
41,Mary Pallant,mary pallant,CA,U.S. House California District 25,4,Representative,Regular,Lost,None,None,5.54,3.0,CA-25,5.106485,H,DEM,CHALLENGER,8295.09,8295.09,0.0,2632.09,2231.0,26.0,2257.0,0.0,0.0,3338.09,5595.09,0.0,2700.0,0.0,2700.0,0.0,0,0,0.0,8227.18,0.0,0.0,0.0,67.91,0.0,67.91,0.0,0.0,0.0,0.0,0.0,5595.09,8227.18,0.0,0.0,01/01/2018,False,True,True
42,Johnny Nalbandian,johnny nalbandian,CA,U.S. House California District 28,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-28,41.84745,H,REP,CHALLENGER,36370.0,36332.56,37.44,12068.5,15425.0,8945.0,24370.0,0.0,0.0,2000.0,26370.0,0.0,10000.0,0.0,10000.0,0.0,0,0,0.0,36332.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26370.0,36332.56,0.0,0.0,01/01/2017,True,True,False
43,Mark Reed,mark reed,CA,U.S. House California District 30,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-30,36.79708,H,REP,CHALLENGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,False
44,Sean Flynn,sean flynn,CA,U.S. House California District 31,1,Representative,Regular,Advanced,None,On the Ballot,100.0,1.0,CA-31,16.448220000000003,H,REP,CHALLENGER,1363972.31,1399111.11,1446.66,788632.13,391669.75,38221.15,429890.9,50104.68,0.0,217228.04,697223.62,0.0,646000.0,0.0,646000.0,0.0,0,0,20748.69,1213377.43,0.0,0.0,0.0,182867.68,0.0,182867.68,2791.0,0.0,0.0,2791.0,75.0,694432.62,1213377.43,36585.46,0.0,01/01/2017,True,True,True
45,Kenneth Wright,kenneth wright,CA,U.S. House California District 33,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-33,36.58085,H,REP,CHALLENGER,164786.01,161454.23,9163.82,53750.0,83297.33,33539.93,116837.26,449.0,0.0,0.0,117286.26,0.0,0.0,45750.0,45750.0,1499.0,0,0,250.75,160027.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.82,117286.26,158528.41,3233.39,0.0,01/01/2017,True,True,False
46,Ron Bassilian,ron bassilian,CA,U.S. House California District 34,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-34,63.031819999999996,H,REP,CHALLENGER,10387.55,10147.97,239.58,3750.0,3686.89,2440.66,6127.55,0.0,0.0,510.0,6637.55,0.0,3750.0,0.0,3750.0,0.0,0,0,0.0,9902.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.45,6637.55,9902.52,0.0,0.0,07/01/2017,True,True,False
47,Christian Valiente,christian valiente,CA,U.S. House California District 35,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-35,31.41368,H,REP,CHALLENGER,7315.85,8221.19,-1124.77,2104.0,500.0,960.0,1460.0,0.0,0.0,0.0,1460.0,0.0,2004.0,0.0,2004.0,3101.85,0,0,750.0,5086.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1460.0,5094.34,-216.4,0.0,04/01/2018,True,True,False
48,Kimberlin Brown Pelzer,kimberlin brown pelzer,CA,U.S. House California District 36,5,Representative,Regular,Advanced,None,On the Ballot,51.61,2.0,CA-36,8.144352,H,REP,CHALLENGER,844037.02,841751.6,2285.42,2279.64,705759.0,50488.18,756247.18,85038.05,0.0,0.0,841285.23,2359.84,0.0,0.0,0.0,391.95,0,0,0.0,841501.6,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,250.0,0.0,841035.23,841109.65,0.0,0.0,10/06/2017,True,True,True
49,Stephan Wolkowicz,stephan wolkowicz,CA,U.S. House California District 36,5,Representative,Regular,Lost,None,None,10.41,0.0,CA-36,8.144352,H,REP,CHALLENGER,15038.32,15038.32,0.0,0.0,0.0,205.0,205.0,0.0,0.0,10220.32,10425.32,0.0,4500.0,0.0,4500.0,113.0,0,0,0.0,10538.32,0.0,0.0,0.0,4500.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,10425.32,10425.32,0.0,0.0,01/01/2017,True,True,False
50,Dan Ball,dan ball,CA,U.S. House California District 36,5,Representative,Regular,Lost,None,None,17.39,0.0,CA-36,8.144352,H,REP,CHALLENGER,19259.0,17307.1,1951.9,3792.44,16750.0,2509.0,19259.0,0.0,0.0,0.0,19259.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,17057.1,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,250.0,0.0,19009.0,17057.1,0.0,0.0,10/01/2017,True,True,False
51,Robert Bentley,robert bentley,CA,U.S. House California District 36,5,Representative,Regular,Lost,None,None,9.38,0.0,CA-36,8.144352,H,REP,CHALLENGER,110.0,50.0,60.0,0.0,0.0,0.9,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,50.0,0.0,0.0,10/01/2017,True,True,False
52,Ryan Downing,ryan downing,CA,U.S. House California District 38,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,CA-38,31.53905,H,REP,CHALLENGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,False
53,Young Kim,young kim,CA,U.S. House California District 39,13,Representative,Regular,Advanced,None,On the Ballot,39.79,4.0,CA-39,5.783819,H,REP,OPEN,2907665.64,2902331.5,5334.14,5517.03,2206032.68,116214.34,2322247.02,570250.71,10000.0,0.0,2902497.73,0.0,0.0,0.0,0.0,3084.91,0,0,2083.0,2888305.5,0.0,0.0,0.0,0.0,0.0,0.0,13501.0,0.0,0.0,13501.0,525.0,2888996.73,2885220.59,0.0,0.0,01/01/2018,True,False,True
